cross,fert,dir,genet,night
B8-U38,100,sperm,B8,Night 1
B8-U38,100,sperm,B8,Night 1
B8-U38,95.12195122,sperm,B8,Night 1
B8-U50,68.18181818,sperm,B8,Night 1
B8-U50,82.22222222,sperm,B8,Night 1
B8-U50,64.51612903,sperm,B8,Night 1
B8-U94,76.19047619,sperm,B8,Night 1
B8-U94,90.14084507,sperm,B8,Night 1
B8-U94,84.72222222,sperm,B8,Night 1
U38-B8,81.03448276,ova,B8,Night 1
U38-B8,87.5,ova,B8,Night 1
U38-B8,68.85245902,ova,B8,Night 1
U50-B8,85.71428571,ova,B8,Night 1
U50-B8,84.90566038,ova,B8,Night 1
U50-B8,90.90909091,ova,B8,Night 1
U94-B8,96.49122807,ova,B8,Night 1
U94-B8,95.45454545,ova,B8,Night 1
U94-B8,74.46808511,ova,B8,Night 1
U38-B8,81.03448276,sperm,U38,Night 1
U38-B8,87.5,sperm,U38,Night 1
U38-B8,68.85245902,sperm,U38,Night 1
U38-U50,52.5,sperm,U38,Night 1
U38-U50,72.22222222,sperm,U38,Night 1
U38-U50,67.64705882,sperm,U38,Night 1
U38-U94,40,sperm,U38,Night 1
U38-U94,53.125,sperm,U38,Night 1
U38-U94,58.06451613,sperm,U38,Night 1
B8-U38,100,ova,U38,Night 1
B8-U38,100,ova,U38,Night 1
B8-U38,95.12195122,ova,U38,Night 1
U50-U38,98.03921569,ova,U38,Night 1
U50-U38,97.14285714,ova,U38,Night 1
U50-U38,94.28571429,ova,U38,Night 1
U94-U38,90.625,ova,U38,Night 1
U94-U38,83.87096774,ova,U38,Night 1
U94-U38,96.96969697,ova,U38,Night 1
U50-B8,85.71428571,sperm,U50,Night 1
U50-B8,84.90566038,sperm,U50,Night 1
U50-B8,90.90909091,sperm,U50,Night 1
U50-U38,98.03921569,sperm,U50,Night 1
U50-U38,97.14285714,sperm,U50,Night 1
U50-U38,94.28571429,sperm,U50,Night 1
U50-U94,43.75,sperm,U50,Night 1
U50-U94,36.92307692,sperm,U50,Night 1
U50-U94,31.74603175,sperm,U50,Night 1
B8-U50,68.18181818,ova,U50,Night 1
B8-U50,82.22222222,ova,U50,Night 1
B8-U50,64.51612903,ova,U50,Night 1
U38-U50,52.5,ova,U50,Night 1
U38-U50,72.22222222,ova,U50,Night 1
U38-U50,67.64705882,ova,U50,Night 1
U94-U50,64.70588235,ova,U50,Night 1
U94-U50,78.37837838,ova,U50,Night 1
U94-U50,53.125,ova,U50,Night 1
U94-B8,96.49122807,sperm,U94,Night 1
U94-B8,95.45454545,sperm,U94,Night 1
U94-B8,74.46808511,sperm,U94,Night 1
U94-U38,90.625,sperm,U94,Night 1
U94-U38,83.87096774,sperm,U94,Night 1
U94-U38,96.96969697,sperm,U94,Night 1
U94-U50,64.70588235,sperm,U94,Night 1
U94-U50,78.37837838,sperm,U94,Night 1
U94-U50,53.125,sperm,U94,Night 1
B8-U94,76.19047619,ova,U94,Night 1
B8-U94,90.14084507,ova,U94,Night 1
B8-U94,84.72222222,ova,U94,Night 1
U38-U94,40,ova,U94,Night 1
U38-U94,53.125,ova,U94,Night 1
U38-U94,58.06451613,ova,U94,Night 1
U50-U94,43.75,ova,U94,Night 1
U50-U94,36.92307692,ova,U94,Night 1
U50-U94,31.74603175,ova,U94,Night 1
